EV,P/B,EV/T12M EBITDA,P/S,P/E,Log CAP,date
-0.32771618105425854,-0.19360989416154076,-0.14871334265392713,-0.373492574760272,-0.11460650909947792,0.1768131768300718,2008-02-01
-0.4012322835522892,0.373368380954232,-0.18309769234824633,-0.1331440936698881,-0.09898409381149127,0.16819829783409943,2008-02-01
-0.0321981475048431,0.23297154149258162,0.1768994462704609,0.7599186385867788,0.108334689571112,0.29013343857827095,2008-02-01
0.05923910045027305,-0.15212955755836477,-0.09919212471309259,-0.22596423357816275,-0.078861951091011,0.3819947982420878,2008-02-01
0.8140860215089882,0.16858583211085534,-0.025414728199496493,0.3576079331718809,-0.06348585858460265,0.7593221807025301,2008-02-01
-0.5024984944881974,0.0562442580798249,-0.18025705685399698,-0.4726376746972409,-0.12073161995689306,-0.04867000637297594,2008-02-01
-0.41198681380822433,0.16174876713907485,-0.1378769908172294,-0.3298665684085086,-0.03860899231267097,0.1580363522530461,2008-02-01
-0.2068287621848524,-0.1564599665122892,-0.04697269868440555,-0.3621941418885018,-0.05325739181293782,0.3810245618591958,2008-02-01
-0.523312928364199,0.008360700815651143,-0.1380866756099804,-0.23385691874217443,-0.0660921964671476,-0.13054619805012918,2008-02-01
-0.5707892121385045,0.012586665768831577,-0.18005132837809032,-0.536914405245254,-0.08727942501783258,-0.23594787017674002,2008-02-01
-0.5439099675313663,-0.10875316063398993,-0.04264053173983311,-0.071732515955386,-0.041323746912459915,-0.1643327275597248,2008-02-01
-0.49543820550106,0.05077299927161979,-0.1042759918580932,-0.2598325024497609,-0.10015065768903635,0.004829581250592054,2008-02-01
-0.5870638084740519,-0.024900696344362143,-0.47627659578258397,1.3075142164556595,0.2227550909491808,-0.2627470323991164,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-0.5678320894844642,2008-02-01
-0.4084827985588156,-0.2311615295059616,-0.052871567099344007,-0.3310288473881405,-0.09674030143141012,0.029185187863129368,2008-02-01
